Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
3280	-552.182	-560.2147	8.03261	14.64603	2.960366
3290	-546.6026	-560.7985	14.19583	14.24103	2.536731
3300	-549.0317	-561.8535	12.82185	13.50469	2.626511
3310	-558.8506	-562.5334	3.682871	10.71128	3.329812
3320	-542.7137	-549.8518	7.138038	12.49886	3.054823
3330	-542.6747	-559.4339	16.75922	18.40657	2.349648
3340	-556.1577	-563.4463	7.28865	12.51631	3.042822
3350	-557.5474	-564.2094	6.662036	17.60696	2.935493
3360	-547.8832	-560.676	12.79279	16.15259	2.619423
3370	-557.9438	-563.6077	5.663951	11.20811	3.162447
3380	-561.3523	-567.3321	5.979793	12.57034	3.147056
3390	-551.0022	-560.1487	9.146547	14.16259	2.892422
3400	-555.7621	-569.956	14.19388	10.83067	2.362378
3410	-553.4396	-563.403	9.963468	14.90098	2.824198
3420	-544.5324	-557.5358	13.00346	20.96931	2.472023
3430	-548.5582	-561.2723	12.71408	17.72691	2.588576
3440	-558.2758	-561.1291	2.853222	9.273337	3.329273
3450	-556.4577	-563.4012	6.943525	12.24931	3.069507
3460	-555.8339	-562.4565	6.622541	14.09174	3.07249
3470	-545.7063	-553.5557	7.849418	16.33025	2.918927
3480	-552.8869	-560.2772	7.3903	18.22902	2.866637
3490	-549.6801	-557.2783	7.598189	12.1818	3.015285
3500	-553.7485	-558.412	4.663443	12.13544	3.256519
3510	-566.5727	-566.6828	0.1100691	9.920094	3.654346
3520	-549.1746	-558.1067	8.932153	11.4597	2.882858
3530	-551.7835	-558.9644	7.180896	13.95768	3.035839
3540	-552.6821	-557.7078	5.025695	10.09904	3.171889
3550	-563.9955	-567.0005	3.004999	17.01143	3.177305
3560	-548.5442	-558.5193	9.975045	15.81688	2.802971
3570	-549.4969	-561.7784	12.28152	14.90152	2.66863
3580	-555.4168	-563.9556	8.538826	17.19404	2.845051
3590	-556.6176	-561.3003	4.682708	14.49505	3.195081
3600	-556.1138	-563.1493	7.035476	13.54105	3.054383
3610	-544.7233	-555.9756	11.25226	14.32306	2.743011
3620	-545.6647	-556.6727	11.00798	11.94066	2.726005
3630	-546.3905	-559.9905	13.59992	18.02674	2.531202
3640	-561.9748	-563.379	1.404209	9.954097	3.525263
3650	-559.6142	-563.0503	3.436117	10.02542	3.325283
3660	-552.8186	-561.4282	8.609593	15.6968	2.893027
3670	-551.2856	-560.2151	8.929414	14.5616	2.900825
3680	-556.0144	-565.091	9.076621	12.75845	2.902713
3690	-557.6025	-564.3328	6.730249	16.24291	2.991063
3700	-541.6794	-555.3563	13.67685	13.15583	2.554908
3710	-549.2845	-555.9391	6.65453	9.421056	2.939222
3720	-545.6886	-559.8837	14.19509	15.48553	2.538656
3730	-548.7416	-558.0919	9.350305	14.07229	2.87915
3740	-550.1235	-555.58	5.456532	10.20049	3.136293
3750	-552.4375	-559.7554	7.317948	17.04145	2.922512
3760	-564.4444	-567.7474	3.302991	13.88156	3.316788
3770	-549.3786	-557.8419	8.463333	13.2085	2.951034
3780	-552.4003	-562.8531	10.45287	13.33511	2.801253
3790	-548.132	-561.6584	13.52641	13.03189	2.562873
3800	-552.0394	-558.0186	5.979273	9.682311	3.040087
3810	-556.9691	-563.4664	6.497332	9.695398	2.987992
3820	-556.8822	-565.4892	8.607019	12.25922	2.933876
3830	-553.2868	-572.6466	19.35984	14.72281	2.189079
3840	-542.9595	-558.6562	15.69667	17.18695	2.428854
3850	-541.9442	-557.6114	15.66719	14.77371	2.440373
3860	-562.9945	-572.4748	9.480255	17.91679	2.763896
3870	-557.8933	-567.6583	9.764966	12.63651	2.847021
3880	-557.6921	-569.5527	11.86058	12.22884	2.667286
3890	-540.052	-557.6369	17.58483	14.37764	2.302239
3900	-552.5631	-568.5647	16.00166	20.88235	2.331415
3910	-549.0519	-565.5323	16.48037	16.39529	2.390065
3920	-545.9088	-554.0129	8.10416	11.61082	2.960307
3930	-557.5336	-563.421	5.887431	10.74024	3.12534
3940	-555.0429	-558.1533	3.110441	12.64045	3.37353
3950	-548.966	-554.331	5.364935	14.19098	3.158501
3960	-553.6575	-561.2785	7.620964	17.34042	2.892322
3970	-547.7141	-560.0144	12.3003	15.66988	2.65832
3980	-549.8596	-564.7979	14.93824	14.56176	2.488177
3990	-555.3566	-561.9582	6.601646	9.896648	2.997737
4000	-548.0568	-559.2146	11.15777	14.81586	2.74511
4010	-567.4667	-574.7413	7.27456	12.36254	3.0433
4020	-557.8604	-570.0126	12.15219	12.06079	2.63602
4030	-569.7492	-573.5014	3.752294	10.58311	3.319364
4040	-544.8853	-559.3045	14.41922	16.03997	2.519936
4050	-551.9327	-565.0988	13.16611	14.40313	2.609642
4060	-551.1008	-564.0377	12.93688	17.33841	2.585809
4070	-546.1539	-562.7682	16.6143	16.54967	2.38103
4080	-555.7706	-567.0163	11.24568	12.71237	2.731664
4090	-545.0363	-566.2703	21.234	16.73783	2.103704
4100	-556.455	-575.4168	18.9618	18.27775	2.231357
4110	-557.2526	-567.7871	10.53448	10.38788	2.659123
4120	-551.2685	-561.9514	10.68289	11.56131	2.735639
4130	-548.4421	-558.7116	10.26953	11.49714	2.768127
4140	-552.1517	-556.7612	4.609487	16.32103	3.117783
4150	-554.4741	-567.1673	12.69321	14.94046	2.64076
4160	-540.5011	-554.4679	13.9668	16.17969	2.546388
4170	-550.0173	-560.3969	10.37964	15.49098	2.784925
4180	-550.9215	-560.3008	9.379348	13.63305	2.88086
4190	-554.3724	-558.8668	4.494366	17.33244	3.073047
4200	-553.6867	-564.6113	10.92463	17.89027	2.684159
4210	-548.6261	-562.8506	14.22454	16.55378	2.525367
4220	-553.5407	-567.5975	14.05677	20.31082	2.442385
4230	-551.0837	-564.2182	13.13449	14.80193	2.611732
4240	-552.4892	-565.9465	13.4573	18.69386	2.521063
4250	-548.9989	-559.2342	10.23539	13.6989	2.817982
4260	-552.5933	-560.9167	8.323478	15.72331	2.910409
4270	-546.6723	-558.8661	12.1938	13.1953	2.668368
4280	-543.7724	-554.1721	10.39972	15.02426	2.792832
4290	-555.6195	-565.7722	10.15275	18.51594	2.704505
4300	-549.5432	-561.8035	12.26032	14.73461	2.671222
4310	-543.2497	-558.3527	15.10306	12.5409	2.419766
4320	-550.0926	-562.1822	12.08963	11.95066	2.635918
4330	-551.2548	-558.8824	7.627604	19.82862	2.781199
4340	-558.9881	-571.7024	12.71432	14.84827	2.639885
4350	-548.6054	-561.9261	13.32076	10.91945	2.452157
4360	-551.9477	-563.994	12.04626	14.39061	2.687427
4370	-555.0418	-564.6395	9.597726	12.70127	2.861154
4380	-556.7945	-561.664	4.86949	14.70613	3.173956
4390	-557.815	-562.6896	4.874613	19.51611	2.936625
4400	-554.9122	-567.9466	13.03443	13.89803	2.615916
