Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
402	0	-556.8951	-564.011	7.11593	12.79829	3.056242
403	1	-544.0349	-556.888	12.85313	18.21633	2.567319
404	0	-546.2449	-551.6969	5.452007	16.64391	3.051057
405	1	-550.7835	-558.5272	7.743649	10.2319	2.914842
406	0	-556.5708	-562.3043	5.733414	11.49652	3.16266
407	1	-552.4374	-553.0819	0.6445207	18.22147	3.237186
408	0	-549.9332	-560.8586	10.92538	14.66134	2.762681
409	1	-550.9717	-555.5794	4.607664	14.29757	3.207886
410	0	-537.9493	-553.4721	15.52275	19.20804	2.39861
411	1	-543.696	-554.0774	10.38137	10.773	2.70967
412	0	-540.0477	-553.2154	13.1677	16.07672	2.597402
413	1	-541.8942	-560.4906	18.59635	15.41941	2.253586
414	0	-548.2597	-558.6884	10.42871	16.16496	2.765455
415	1	-544.3732	-560.6464	16.27326	16.91269	2.398395
416	0	-558.6207	-565.8457	7.224984	12.47956	3.047813
417	1	-542.5087	-552.4833	9.974595	10.91109	2.757986
418	0	-561.0959	-562.6563	1.560423	10.66728	3.527519
419	1	-548.8647	-564.7587	15.894	18.72824	2.389983
420	0	-562.3965	-563.3222	0.9256174	12.68249	3.544689
421	1	-559.9468	-568.9865	9.039688	11.38056	2.869881
422	0	-541.6228	-556.5258	14.90296	15.04109	2.493139
423	1	-558.1873	-566.5762	8.388898	13.64941	2.953333
424	0	-550.1116	-559.677	9.565408	15.6273	2.833977
425	1	-551.2894	-562.3717	11.08236	13.25954	2.75331
426	0	-559.622	-572.8704	13.24842	16.17403	2.590878
427	1	-550.2129	-562.1662	11.95333	13.1774	2.686289
428	0	-545.971	-559.6846	13.71355	15.49235	2.569698
429	1	-554.5044	-559.5192	5.014712	10.47174	3.194818
430	0	-559.2677	-566.7812	7.513489	14.38851	3.00246
431	1	-555.0648	-560.1501	5.085296	15.56423	3.123465
432	0	-545.0832	-557.3046	12.22142	17.43557	2.62446
433	1	-554.1073	-558.0424	3.935178	10.05008	3.276998
434	0	-559.2112	-565.4612	6.249948	15.74971	3.041217
435	1	-559.7178	-563.2837	3.565956	10.43935	3.331963
436	0	-548.4336	-560.3968	11.96327	13.63278	2.691324
437	1	-567.1797	-579.0343	11.85451	14.25696	2.701111
438	0	-551.4417	-560.3956	8.953914	12.92638	2.913373
439	1	-556.167	-564.3427	8.175714	15.82075	2.916602
440	0	-554.5915	-564.079	9.487444	15.49056	2.842531
441	1	-557.857	-565.5357	7.678716	13.49064	3.007528
442	0	-551.8432	-561.4555	9.612336	14.15596	2.85961
443	1	-559.9381	-567.5755	7.637414	13.47017	3.010847
444	0	-557.4845	-562.3709	4.886368	14.00938	3.198503
445	1	-567.7547	-576.4368	8.682088	12.8406	2.934082
446	0	-549.4885	-556.5884	7.099967	14.92693	3.015555
