Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1820	-467.447	-458.861	-8.585949	93416.87	10.05366	0.995844	0.998935	1.00106	1.00416	3.377495
1830	-457.4977	-454.6887	-2.809058	7942.427	10.81986	0.985773	0.996321	1.00361	1.0143	2.868555
1840	-469.9185	-469.2945	-0.6239356	27910.79	20.03851	0.992402	0.998046	1.00193	1.00762	2.608761
1850	-464.5165	-457.9726	-6.543858	24816.76	12.5997	0.991943	0.997928	1.00205	1.00808	3.227066
1860	-455.5617	-455.0568	-0.5048484	86249.89	13.90283	0.995675	0.998891	1.0011	1.00433	2.761713
1870	-451.6311	-449	-2.631143	45196.38	12.94545	0.994027	0.998467	1.00152	1.00599	2.919028
1880	-462.1716	-454.312	-7.859556	88252.8	9.906714	0.995724	0.998904	1.00109	1.00428	3.296299
1890	-473.7503	-463.4568	-10.29347	74979.11	12.94497	0.995362	0.998811	1.00118	1.00465	3.510942
1900	-459.0575	-455.5277	-3.529844	97226.03	16.55386	0.995926	0.998956	1.00104	1.00408	2.902406
1910	-475.7585	-468.2937	-7.464879	36318.91	12.64384	0.993338	0.998289	1.0017	1.00668	3.299286
1920	-467.6494	-456.3506	-11.29885	26235.34	11.80231	0.992163	0.997985	1.00199	1.00786	3.634377
1930	-464.5635	-455.0349	-9.528631	28531.02	9.652403	0.992485	0.998068	1.00191	1.00754	3.45087
1940	-450.9364	-449.7238	-1.212581	14715.2	10.70048	0.989541	0.997304	1.00266	1.0105	2.711082
1950	-463.1279	-456.2902	-6.837762	41925.59	16.92839	0.993799	0.998408	1.00158	1.00621	3.08336
1960	-460.6425	-454.5113	-6.131225	36327.9	13.3731	0.993339	0.998289	1.0017	1.00668	3.180655
1970	-457.8063	-452.9874	-4.818939	3387.358	12.54912	0.978245	0.994338	1.00549	1.02192	3.090284
1980	-459.6697	-459.7112	0.04151083	61313.61	14.37573	0.994871	0.998684	1.00131	1.00514	2.721677
1990	-445.237	-454.5443	9.307305	52818.72	16.73858	0.994475	0.998582	1.00141	1.00554	2.12843
2000	-458.2147	-456.7881	-1.426525	27795.6	18.47832	0.992386	0.998042	1.00194	1.00763	2.709496
2010	-459.3593	-455.4682	-3.891093	33822.9	10.9258	0.993097	0.998226	1.00176	1.00692	2.9744
2020	-458.3716	-454.9243	-3.447287	71462.71	11.24664	0.995249	0.998782	1.00121	1.00476	2.949891
2030	-459.0982	-454.9158	-4.182472	26285.19	13.27417	0.992171	0.997987	1.00199	1.00785	3.036108
2040	-458.2389	-453.9629	-4.275939	14562.96	14.12844	0.989487	0.99729	1.00267	1.01055	3.028048
2050	-457.7645	-452.87	-4.894473	15605.82	12.44198	0.989843	0.997383	1.00258	1.01019	3.096433
2060	-466.4259	-458.178	-8.247979	57792.89	12.64949	0.994718	0.998645	1.00135	1.00529	3.361079
2070	-461.246	-459.8192	-1.426804	68324.24	10.5869	0.995141	0.998754	1.00124	1.00487	2.721221
2080	-457.7718	-456.5333	-1.238499	76304.16	16.40107	0.995402	0.998821	1.00117	1.00461	2.76842
2090	-459.9291	-465.4356	5.50659	44693.94	20.30469	0.993994	0.998458	1.00153	1.00602	2.296659
2100	-454.6068	-456.2388	1.631974	48749.79	13.37145	0.994249	0.998524	1.00146	1.00576	2.600113
2110	-460.7231	-456.2535	-4.469577	97056.52	16.9126	0.995923	0.998955	1.00104	1.00408	2.944138
2120	-456.8368	-451.9333	-4.903568	64678.02	13.35198	0.995006	0.998719	1.00127	1.005	3.089203
2130	-451.0312	-452.6392	1.608058	17285.75	19.38963	0.990349	0.997514	1.00245	1.00968	2.518039
2140	-464.7247	-461.063	-3.661687	727.3953	11.55619	0.953271	0.987572	1.01164	1.04751	2.980401
2150	-461.9358	-457.1283	-4.807561	87258.82	13.444	0.9957	0.998898	1.0011	1.00431	3.080494
2160	-449.0635	-454.0166	4.953088	56383.64	18.11941	0.994652	0.998628	1.00136	1.00536	2.370658
2170	-444.8448	-450.8031	5.958232	34609.21	14.17074	0.993176	0.998247	1.00174	1.00684	2.304857
2180	-460.2372	-460.6133	0.37603	73300.11	12.63749	0.995309	0.998797	1.0012	1.0047	2.678966
2190	-460.5399	-452.2356	-8.304305	96772.74	9.673676	0.995917	0.998953	1.00104	1.00409	3.32561
2200	-461.5314	-452.8516	-8.679798	32908.84	11.5004	0.993002	0.998202	1.00178	1.00702	3.414919
2210	-467.6391	-457.228	-10.41117	75753.22	12.20259	0.995385	0.998817	1.00118	1.00462	3.547918
2220	-462.5694	-456.209	-6.360403	82510.91	12.73495	0.995578	0.998866	1.00113	1.00443	3.210639
2230	-465.6411	-458.6362	-7.004979	22311.6	14.03696	0.991503	0.997814	1.00216	1.00852	3.224529
2240	-456.75	-451.3504	-5.399586	86706.64	13.66737	0.995687	0.998894	1.0011	1.00432	3.119629
2250	-468.3194	-464.8442	-3.475219	65905.63	11.04716	0.995053	0.998731	1.00126	1.00496	2.942879
2260	-456.7313	-454.8797	-1.851587	80618.69	14.65364	0.995527	0.998853	1.00114	1.00448	2.84903
2270	-473.7699	-460.3809	-13.38902	97837.46	14.69387	0.995939	0.998959	1.00104	1.00407	3.633519
2280	-461.4924	-454.06	-7.432376	68097.02	9.22619	0.995133	0.998752	1.00124	1.00488	3.19163
2290	-459.6646	-454.8714	-4.793222	80250.36	15.68533	0.995517	0.99885	1.00114	1.00449	3.013865
2300	-460.3654	-453.7129	-6.652589	12247.32	13.04106	0.988538	0.997043	1.00291	1.01151	3.227663
2310	-456.897	-453.0105	-3.886545	31051.6	11.37238	0.992796	0.998148	1.00183	1.00722	2.993773
2320	-462.766	-457.5111	-5.254904	2549.933	11.11967	0.974941	0.993459	1.00632	1.02528	3.106555
2330	-458.1738	-452.391	-5.782816	99219.51	14.31246	0.995968	0.998966	1.00103	1.00404	3.128898
2340	-464.9961	-461.1485	-3.847613	1393.2	11.65206	0.966154	0.991098	1.00849	1.03426	2.99926
2350	-456.3602	-455.6827	-0.6774821	15110.17	13.24301	0.989678	0.99734	1.00262	1.01036	2.771779
2360	-454.3278	-461.3786	7.050779	72468.13	18.62854	0.995282	0.99879	1.0012	1.00473	2.248784
2370	-453.9068	-457.6361	3.729349	2444.497	15.84427	0.974409	0.993317	1.00645	1.02582	2.469819
2380	-458.7764	-458.4221	-0.3542827	5054.453	13.58202	0.982178	0.995377	1.00451	1.01794	2.750111
2390	-448.6337	-449.5939	0.9602354	7164.907	11.94541	0.985023	0.996125	1.0038	1.01506	2.60355
2400	-447.2719	-452.1272	4.85528	14294.2	16.72206	0.989388	0.997265	1.0027	1.01065	2.394546
2410	-452.11	-448.9734	-3.136552	14981.8	12.86542	0.989634	0.997328	1.00263	1.0104	2.957952
2420	-457.6603	-454.8857	-2.774643	52031.98	14.42308	0.994433	0.998571	1.00142	1.00558	2.916686
2430	-446.5971	-450.8791	4.282073	52760.03	12.53102	0.994472	0.998581	1.00141	1.00554	2.364035
2440	-457.7194	-458.7331	1.013686	84073.89	14.35925	0.99562	0.998877	1.00112	1.00439	2.654051
2450	-449.2247	-452.619	3.39434	41372.49	13.43876	0.993758	0.998397	1.00159	1.00626	2.470267
